蔬菜编号,蔬菜名称,分类码,营养成分
1,红萝卜,1,蛋白质、葡萄糖、维生素C
2,胡萝卜,1,胡萝卜素、维生素A
3,大葱,1,蛋白质、葡萄糖、胡萝卜素，维生素B1
4,小葱,1,蛋白质、葡萄糖、胡萝卜素
5,蒜,1,维生素C、多糖
6,洋葱,1,钾、磷、钙、胡萝卜素
7,莴笋,1,钾、碘、维生素K
8,山药,1,钾、磷、镁、胡萝卜素
9,马铃薯,1,维生素C、蛋白质、多糖
10,菜椒,2,胡萝卜素、钾、维生素C
11,青椒,2,胡萝卜素、钙、铁
12,尖椒,2,维生素C、维生素B1、胡萝卜素、钙
13,扁豆,2,胡萝卜素、维生素C、钾、磷、铁、锌
14,苦瓜,3,维生素B2、维生素C、钙、铁、磷
15,西红柿,3,钙、磷、铁、硼、锰、铜
16,空心菜,4,蛋白质、胡萝卜素、维生素B1、维生素B2、维生素C
