分类编号,1,2,3,4,5
分类名称,根茎类,果蔬类,瓜类,叶菜类,菌类
蔬菜名称,红萝卜,菜椒,西瓜,大白菜,木耳
,胡萝卜,青椒,甜瓜,小白菜,银耳
,大葱,尖椒,白瓜,生菜,平菇
,小葱,甜椒,苦瓜,菠菜,草菇
,蒜,朝天椒,西红柿,韭菜,金针菇
,洋葱,线椒,,芹菜,
,莴笋,南瓜,,空心菜,
,山药,丝瓜,,,
,马铃薯,扁豆,,,
,红薯,,,,
